13.13.55:915	Starting service...
13.13.56:499	Тип сервиса: Database
13.14.31:959	Карта типа VISA
13.14.32:179	50c46d6a-67bb-11e7-93ce-902b3433e7da: Сформирована строка задания. Файл d:\work\CwHub\CDPconsole\In\file.txt
13.14.34:795	50c46d6a-67bb-11e7-93ce-902b3433e7da: Обработка CDP прошла успешно. Файл D:\Work\CwHub\CDPconsole\Out\classic.txt
13.14.34:815	50c46d6a-67bb-11e7-93ce-902b3433e7da: Запрос на печать пин-конверта сформирован
13.14.36:956	50c46d6a-67bb-11e7-93ce-902b3433e7da: Карта типа VISA выпуск
13.14.37:216	Печать пина для карты 127.0.0.1:1604
13.14.38:310	Ошибка: Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение 127.0.0.1:1604
13.15.25:164	Карта типа VISA
13.15.25:345	50c46d6a-67bb-11e7-93ce-902b3433e7da: Сформирована строка задания. Файл d:\work\CwHub\CDPconsole\In\file.txt
13.15.27:600	50c46d6a-67bb-11e7-93ce-902b3433e7da: Обработка CDP прошла успешно. Файл D:\Work\CwHub\CDPconsole\Out\classic.txt
13.15.27:630	50c46d6a-67bb-11e7-93ce-902b3433e7da: Запрос на печать пин-конверта сформирован
13.15.32:271	50c46d6a-67bb-11e7-93ce-902b3433e7da: Карта типа VISA выпуск
13.15.32:446	Печать пина для карты 127.0.0.1:1604
13.15.33:492	Ошибка: Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение 127.0.0.1:1604
13.16.18:306	Карта типа VISA
13.16.18:587	50c46d6a-67bb-11e7-93ce-902b3433e7da: Сформирована строка задания. Файл d:\work\CwHub\CDPconsole\In\file.txt
13.16.20:616	50c46d6a-67bb-11e7-93ce-902b3433e7da: Обработка CDP прошла успешно. Файл D:\Work\CwHub\CDPconsole\Out\classic.txt
13.16.20:636	50c46d6a-67bb-11e7-93ce-902b3433e7da: Запрос на печать пин-конверта сформирован
13.16.22:625	50c46d6a-67bb-11e7-93ce-902b3433e7da: Карта типа VISA выпуск
13.16.27:746	Печать пина для карты 127.0.0.1:1604
13.16.28:792	Ошибка: Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение 127.0.0.1:1604
13.45.42:584	Карта типа VISA
13.45.42:764	50c46d6a-67bb-11e7-93ce-902b3433e7da: Сформирована строка задания. Файл d:\work\CwHub\CDPconsole\In\file.txt
13.45.44:844	50c46d6a-67bb-11e7-93ce-902b3433e7da: Обработка CDP прошла успешно. Файл D:\Work\CwHub\CDPconsole\Out\classic.txt
13.45.44:864	50c46d6a-67bb-11e7-93ce-902b3433e7da: Запрос на печать пин-конверта сформирован
13.45.45:381	50c46d6a-67bb-11e7-93ce-902b3433e7da: Карта типа VISA выпуск
13.45.49:925	Печать пина для карты 127.0.0.1:1604
13.45.50:956	Ошибка: Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение 127.0.0.1:1604
13.46.30:118	Карта типа VISA
13.46.30:299	50c46d6a-67bb-11e7-93ce-902b3433e7da: Сформирована строка задания. Файл d:\work\CwHub\CDPconsole\In\file.txt
